"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:26:55 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.456,548162.591,842170368.0,55934976.0,54816768.0,66705612800.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,871907328.0,55934976.0,54841344.0,66675851264.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,901537792.0,55934976.0,54841344.0,66646220800.0
3.100,0.094,96.807,0.0,0.0,0.0,0.0,0.0,929050624.0,55934976.0,54845440.0,66618703872.0
3.129,0.094,96.183,0.594,0.0,0.0,0.0,16384.0,958144512.0,55943168.0,54841344.0,66589605888.0
3.037,0.188,96.775,0.0,0.0,0.0,0.0,0.0,1109135360.0,55943168.0,54845440.0,66438610944.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1117450240.0,55943168.0,54845440.0,66430296064.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,1117052928.0,55943168.0,54845440.0,66430693376.0
3.160,0.094,96.746,0.0,0.0,0.0,0.0,0.0,1116925952.0,55943168.0,54845440.0,66430820352.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,4096.0,1116798976.0,55943168.0,54845440.0,66430947328.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:27:07 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.374,548162.342,843563008.0,55943168.0,54849536.0,66704179200.0
6.217,0.094,93.689,0.0,0.0,0.0,0.0,0.0,902291456.0,55943168.0,54849536.0,66645450752.0
6.221,0.125,93.654,0.0,0.0,0.0,0.0,0.0,961011712.0,55943168.0,54849536.0,66586730496.0
6.156,0.188,93.031,0.625,0.0,0.0,0.0,28672.0,1116262400.0,55951360.0,54841344.0,66431479808.0
6.256,0.063,93.682,0.0,0.0,0.0,0.0,0.0,1116135424.0,55951360.0,54841344.0,66431606784.0
6.258,0.031,93.711,0.0,0.0,0.0,0.0,0.0,1116000256.0,55951360.0,54849536.0,66431733760.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:27:14 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.323,548162.187,849752064.0,55951360.0,54849536.0,66697981952.0
12.434,0.094,87.473,0.0,0.0,0.0,0.0,0.0,965316608.0,55951360.0,54849536.0,66582417408.0
12.414,0.156,87.430,0.0,0.0,0.0,0.0,0.0,1115365376.0,55951360.0,54849536.0,66432368640.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:27:19 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.290,548162.087,857387008.0,55951360.0,54849536.0,66690347008.0
24.617,0.250,74.695,0.437,0.0,0.0,0.0,0.0,1115336704.0,55955456.0,54845440.0,66432397312.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:27:22 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.266,548162.016,869584896.0,55959552.0,54853632.0,66678136832.0
31.012,0.344,68.645,0.0,0.0,0.0,0.0,0.0,1116499968.0,55959552.0,54853632.0,66431221760.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:27:25 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.245,548161.950,879722496.0,55959552.0,54853632.0,66667999232.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:27:28 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.224,548161.889,878276608.0,55967744.0,54845440.0,66669445120.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:27:31 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.205,548161.831,930074624.0,55967744.0,54857728.0,66617634816.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:27:33 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.186,548161.773,912936960.0,55975936.0,54853632.0,66634768384.0


"Host:","compute-641-1.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 04:27:36 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.981,5.459,44.430,0.098,0.000,0.032,179922.168,548161.718,938745856.0,55975936.0,54861824.0,66608951296.0
