"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 20:55:58 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
62.266,3.217,34.391,0.118,0.000,0.008,27115.168,1126351.169,915447808.0,91885568.0,176119808.0,66475171840.0
3.125,0.031,96.812,0.0,0.0,0.031,0.0,0.0,915660800.0,91885568.0,176160768.0,66474917888.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,915537920.0,91885568.0,176164864.0,66475036672.0
3.128,0.031,96.810,0.0,0.0,0.031,0.0,0.0,915783680.0,91885568.0,176164864.0,66474790912.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,915791872.0,91885568.0,176164864.0,66474782720.0
3.129,0.031,96.214,0.594,0.0,0.031,0.0,20480.0,915787776.0,91893760.0,176160768.0,66474782720.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,915644416.0,91893760.0,176160768.0,66474926080.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,915623936.0,91893760.0,176164864.0,66474942464.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,915628032.0,91893760.0,176164864.0,66474938368.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,915619840.0,91893760.0,176164864.0,66474946560.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,915582976.0,91893760.0,176164864.0,66474983424.0
3.129,0.031,96.809,0.0,0.0,0.031,0.0,0.0,915582976.0,91893760.0,176164864.0,66474983424.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,915582976.0,91893760.0,176164864.0,66474983424.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,915582976.0,91893760.0,176164864.0,66474983424.0
3.158,0.031,96.779,0.0,0.0,0.031,0.0,0.0,915582976.0,91893760.0,176164864.0,66474983424.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,915574784.0,91893760.0,176164864.0,66474991616.0
3.126,0.094,96.749,0.0,0.0,0.031,0.0,0.0,915574784.0,91893760.0,176164864.0,66474991616.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,915574784.0,91893760.0,176164864.0,66474991616.0
3.128,0.063,96.778,0.0,0.0,0.031,0.0,0.0,915574784.0,91893760.0,176164864.0,66474991616.0
3.159,0.125,96.716,0.0,0.0,0.0,0.0,0.0,916631552.0,91893760.0,176164864.0,66473934848.0
3.128,0.031,96.810,0.0,0.0,0.031,0.0,0.0,916504576.0,91893760.0,176164864.0,66474061824.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,915980288.0,91893760.0,176164864.0,66474586112.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,915980288.0,91893760.0,176164864.0,66474586112.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,915849216.0,91893760.0,176164864.0,66474717184.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,915730432.0,91893760.0,176164864.0,66474835968.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,915730432.0,91893760.0,176164864.0,66474835968.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,915496960.0,91893760.0,176164864.0,66475069440.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,915275776.0,91893760.0,176164864.0,66475290624.0
3.128,0.063,96.778,0.0,0.0,0.031,0.0,0.0,915283968.0,91893760.0,176164864.0,66475282432.0
